book_id,openlibrary_work_key,status,edition_rows,reported_size,error
BOOK00225,/works/OL27799464W,success,4,4.0,
BOOK00226,/works/OL28172934W,success,1,1.0,
BOOK00227,/works/OL44609028W,success,5,5.0,
BOOK00228,/works/OL39175195W,success,1,1.0,
BOOK00229,/works/OL3263681W,success,1,1.0,
BOOK00230,/works/OL2896803W,success,5,5.0,
BOOK00231,/works/OL39200027W,success,2,2.0,
BOOK00232,/works/OL20592844W,success,6,6.0,
BOOK00233,/works/OL44597810W,success,3,3.0,
BOOK00234,/works/OL1903158W,success,4,4.0,
BOOK00235,/works/OL24701696W,success,3,3.0,
BOOK00236,/works/OL1903148W,success,5,5.0,
BOOK00237,/works/OL16997792W,success,1,1.0,
BOOK00238,/works/OL5816128W,success,2,2.0,
BOOK00239,/works/OL24326584W,success,7,7.0,
BOOK00240,/works/OL2726376W,success,2,2.0,
BOOK00241,/works/OL9595789W,success,1,1.0,
BOOK00242,/works/OL24912130W,success,1,1.0,
BOOK00243,/works/OL18177476W,success,1,1.0,
BOOK00244,/works/OL1861949W,success,1,1.0,
BOOK00245,/works/OL16327340W,success,1,1.0,
BOOK00246,/works/OL16295981W,success,1,1.0,
BOOK00247,/works/OL18637084W,success,1,1.0,
BOOK00248,/works/OL14925607W,success,3,3.0,
BOOK00249,/works/OL20167114W,success,2,2.0,
BOOK00250,/works/OL30232477W,success,1,1.0,
BOOK00251,/works/OL2471245W,success,1,1.0,
BOOK00252,/works/OL16191519W,success,1,1.0,
BOOK00253,/works/OL25178288W,success,6,6.0,
BOOK00254,/works/OL9035377W,success,1,1.0,
BOOK00255,/works/OL8925520W,success,1,1.0,
BOOK00256,/works/OL1812464W,success,1,1.0,
BOOK00257,/works/OL16445928W,success,2,2.0,
BOOK00258,/works/OL28715515W,success,5,5.0,
BOOK00259,/works/OL28452071W,success,2,2.0,
BOOK00260,/works/OL28668941W,success,1,1.0,
BOOK00261,/works/OL25763126W,success,2,2.0,
BOOK00262,/works/OL1851682W,success,2,2.0,
BOOK00263,/works/OL24114452W,success,1,1.0,
BOOK00264,/works/OL21162868W,success,1,1.0,
BOOK00265,/works/OL20183387W,success,4,4.0,
BOOK00266,/works/OL34056020W,success,2,2.0,
BOOK00267,/works/OL1812466W,success,4,4.0,
BOOK00268,/works/OL2259860W,success,1,1.0,
BOOK00269,/works/OL21466423W,success,3,3.0,
BOOK00270,/works/OL9878008W,success,5,5.0,
BOOK00271,/works/OL26822665W,success,2,2.0,
BOOK00272,/works/OL26748521W,success,3,3.0,
BOOK00273,/works/OL40442793W,success,1,1.0,
BOOK00274,/works/OL27394506W,success,4,4.0,
BOOK00275,/works/OL15456995W,success,1,1.0,
BOOK00276,/works/OL39682345W,success,1,1.0,
BOOK00277,/works/OL22326207W,success,2,2.0,
BOOK00278,/works/OL38112557W,success,2,2.0,
BOOK00279,/works/OL20723198W,success,3,3.0,
BOOK00280,/works/OL1903299W,success,2,2.0,
BOOK00281,/works/OL1807518W,success,66,66.0,
