book_id,openlibrary_work_key,canonical_title,edition_key,edition_title,full_title,edition_name,publish_date,publish_country,publish_places,publishers,languages,isbn_10,isbn_13,number_of_pages,physical_format
BOOK00882,/works/OL20032966W,HBR's 10 must reads on emotional intelligence,/books/OL27213008M,HBR's 10 must reads on emotional intelligence,,,2015,mau,,['Harvard Business Review Press'],['eng'],['1633690199'],['9781633690196'],166.0,
BOOK00883,/works/OL5827035W,Selling with emotional intelligence,/books/OL47383627M,Selling with Emotional Intelligence,Selling with Emotional Intelligence,,"Apr 30, 2003",,,"['Brand: Kaplan Publishing', 'Kaplan Publishing']",[],['1607146770'],['9781607146773'],272.0,paperback
BOOK00883,/works/OL5827035W,Selling with emotional intelligence,/books/OL17572409M,Selling with emotional intelligence,,,2003,ilu,"['Chicago, IL']",['Dearborn Trade'],['eng'],['0793161282'],,261.0,
BOOK00883,/works/OL5827035W,Selling with emotional intelligence,/books/OL7812464M,Selling with Emotional Intelligence,,,"March 30, 2003",,,['Kaplan Business'],['eng'],['0793161282'],['9780793161287'],288.0,Hardcover
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL46031786M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence a Step-By-Step Guide for Higher and Further Education Professionals,,2013,,,['Routledge'],['eng'],,['9781283460156'],,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL46012665M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence,,2006,,,['Routledge'],['eng'],,['9781280253980'],,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL38312111M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence A Step-By-step Guide for Higher and Further Education Professionals,,2013,,,['Taylor & Francis Group'],['eng'],,['9781136655432'],,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL38253093M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence A Step-By-step Guide for Higher and Further Education Professionals,,2013,,,['Taylor & Francis Group'],['eng'],,['9780203806463'],,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL34579171M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence A Step-by-step Guide for Higher and Further Education Professionals,,2005,,,['Taylor & Francis Group'],['eng'],,['9780203087794'],,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL33771100M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence A Step-By-step Guide for Higher and Further Education Professionals,,2013,,,['Taylor & Francis Group'],['eng'],,['9781136655425'],164.0,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL33707217M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence A Step-By-step Guide for Higher and Further Education Professionals,,2013,,,['Taylor & Francis Group'],['eng'],,['9781136655487'],164.0,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL33626105M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence A Step-By-step Guide for Higher and Further Education Professionals,,2013,,,['Taylor & Francis Group'],['eng'],,['9781136655470'],164.0,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL33565975M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence A Step-By-step Guide for Higher and Further Education Professionals,,2013,,,['Taylor & Francis Group'],['eng'],,['9781136655456'],164.0,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL28749204M,Teaching with Emotional Intelligence,Teaching with Emotional Intelligence A Step-by-Step Guide for Higher and Further Education Professionals,,2011,,,['Taylor & Francis Group'],['eng'],,['9780415571388'],176.0,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL3394351M,Teaching with emotional intelligence,,,2005,enk,"['Milton Park, Abingdon, Oxon', 'New York, NY']",['Routledge'],['eng'],"['0415373182', '0415350883']",,,
BOOK00884,/works/OL5816970W,Teaching with emotional intelligence,/books/OL24999178M,Teaching with emotional intelligence,,2nd ed.,2011,,"['London, England']",['Routledge'],[],,['9780415571401'],166.0,Paperback
BOOK00885,/works/OL24424813W,Emotional intelligence,/books/OL32351579M,Emotional intelligence,Emotional intelligence an educator's guide,,2011,xxu,['[United States?]'],"['G. Publishing, LLC.']",['eng'],['098343073X'],['9780983430735'],223.0,
BOOK00886,/works/OL2682877W,Achieving emotional literacy,/books/OL7435950M,Achieving Emotional Literacy,,,November 1997,,,['Avon Books'],['eng'],['0380975912'],['9780380975914'],235.0,
BOOK00886,/works/OL2682877W,Achieving emotional literacy,/books/OL17381002M,Achieving emotional literacy,,,1997,enk,['London'],['Bloomsbury'],['eng'],"['0747533830', '0747533857']",,235.0,
BOOK00886,/works/OL2682877W,Achieving emotional literacy,/books/OL7961769M,Achieving Emotional Literacy,,New Ed edition,"March 1, 2001",,,['Bloomsbury Publishing Plc'],['eng'],['0747541353'],['9780747541356'],256.0,Paperback
BOOK00886,/works/OL2682877W,Achieving emotional literacy,/books/OL676580M,Achieving emotional literacy,Achieving emotional literacy a personal program to increase your emotional intelligence,1st ed.,1997,nyu,['New York'],['Avon Books'],['eng'],['0380975912'],,235.0,
BOOK00887,/works/OL20200501W,HBR Guide to Emotional Intelligence,/books/OL27391795M,HBR Guide to Emotional Intelligence,HBR Guide to Emotional Intelligence,,"Jun 27, 2017",,,['Harvard Business Review Press'],[],['1633695557'],['9781633695559'],258.0,hardcover
BOOK00887,/works/OL20200501W,HBR Guide to Emotional Intelligence,/books/OL27387641M,HBR Guide to Emotional Intelligence,,,"Jun 27, 2017",,,['Harvard Business Review Press'],['eng'],['1633692728'],['9781633692725'],240.0,paperback
BOOK00888,/works/OL21979366W,Manipulation Techniques,/books/OL29978074M,Manipulation Techniques,"Manipulation Techniques the Ultimate Guide to Influence People with Persuasion, NLP, Dark Psychology, Emotional Intelligence, Mind Control and How to Manage Your Emotions",,2020,,,['Independently Published'],['eng'],,['9798642476598'],262.0,
BOOK00889,/works/OL22707381W,Emotional Intelligence,/books/OL36338090M,Emotional Intelligence,"Emotional Intelligence A Collection of 7 Books in 1 - Emotional Intelligence, Social Anxiety, Dating for Introverts, Public Speaking, Confidence, How to Talk to Anyone, and Social Skills",,2019,,,['Alakai Publishing LLC'],['eng'],,['9781951429737'],,
BOOK00889,/works/OL22707381W,Emotional Intelligence,/books/OL36336735M,Emotional Intelligence,"Emotional Intelligence A Collection of 7 Books in 1 - Emotional Intelligence, Social Anxiety, Dating for Introverts, Public Spe",,2019,,,['Alakai Publishing LLC'],['eng'],,['9781951429195'],,
BOOK00889,/works/OL22707381W,Emotional Intelligence,/books/OL36334239M,Emotional Intelligence,"Emotional Intelligence He 21-Day Mental Makeover to Master Your Emotions, Improve Your Social Skills, and Achieve Better, Happier Relationships",,2019,,,"['Alakai Publishing LLC', 'SD Publishing LLC']",['eng'],,['9781951030155'],156.0,
BOOK00889,/works/OL22707381W,Emotional Intelligence,/books/OL36330644M,Emotional Intelligence,"Emotional Intelligence Why It Is Crucial for Success in Life and Business - 7 Simple Ways to Raise Your EQ, Make Friends",,2019,,,['Alakai Publishing LLC'],['eng'],,['9781951030353'],,
BOOK00889,/works/OL22707381W,Emotional Intelligence,/books/OL36323181M,Emotional Intelligence,"Emotional Intelligence The Definitive Guide to Understanding Your Emotions, How to Improve Your EQ and Your Relationships",,2019,,,['Alakai Publishing LLC'],['eng'],,['9781951030322'],,
BOOK00889,/works/OL22707381W,Emotional Intelligence,/books/OL30694670M,Emotional Intelligence,"Emotional Intelligence Why it is Crucial for Success in Life and Business - 7 Simple Ways to Raise Your EQ, Make Friends with Your Emotions, and Improve Your Relationships",,"Feb 21, 2019",,,"['Independently Published', 'Independently published']",[],['1797681451'],['9781797681450'],44.0,paperback
BOOK00890,/works/OL8005018W,Emotional Intelligence (Life Balance),/books/OL7781938M,Emotional Intelligence (Life Balance),,,March 2005,,,['Franklin Watts'],['eng'],['0531166880'],['9780531166888'],80.0,Paperback
BOOK00890,/works/OL8005018W,Emotional Intelligence (Life Balance),/books/OL7781359M,Emotional Intelligence (Life Balance),,,September 2004,,,['Franklin Watts'],['eng'],['0531123359'],['9780531123355'],80.0,Library binding
BOOK00891,/works/OL24585420W,Bedtime Stories For Kids,/books/OL42048926M,Bedtime Stories for Kids,"Bedtime Stories for Kids The Ultimate Collection of Meditations Scripts to Help Toddlers and to Make Children Fast Asleep, Mindfulness for Babies to Relax and Have a Deep Sleep and Building Confidence",,2020,,,['Independently Published'],['eng'],,['9798609452986'],,
BOOK00891,/works/OL24585420W,Bedtime Stories For Kids,/books/OL38193771M,Bedtime Stories for Kids,"Bedtime Stories for Kids The Best Meditation Stories to Make Children Fall Asleep in Few Minutes, Building Confidence and Feeling Calm, Guided Mindfulness Learning, Mindful Deep Sleep Hypnosis",,2020,,,['Independently Published'],['eng'],,['9798609355072'],,
BOOK00891,/works/OL24585420W,Bedtime Stories For Kids,/books/OL38193685M,Bedtime Stories for Kids,"Bedtime Stories for Kids The Complete Collection of Sleep Stories for Children,Mindfulness Learning,Deep Sleep Hypnosis,Mindful Meditations,Building Confidence and Thriving,Relaxing and Feeling Calm",,2020,,,['Independently Published'],['eng'],,['9798609442123'],,
BOOK00891,/works/OL24585420W,Bedtime Stories For Kids,/books/OL34623508M,Bedtime Stories For Kids,"Bedtime Stories For Kids The Complete Collection Of Sleep Stories For Children, Mindfulness Learning, Deep Sleep Hypnosis, Mindful Meditations, ... And Thriving, Relaxing And Feeling Calm",,"Oct 19, 2020",,,['Bookify Ltd'],[],['1914105052'],['9781914105050'],86.0,paperback
BOOK00891,/works/OL24585420W,Bedtime Stories For Kids,/books/OL32605810M,Bedtime Stories For Kids,"Bedtime Stories For Kids The Complete Collection Of Sleep Stories For Children, Mindfulness Learning, Deep Sleep Hypnosis, Mindful Meditations, ... And Thriving, Relaxing And Feeling Calm",,"Feb 08, 2021",,,['Emotional Intelligence Guided'],[],['1914105338'],['9781914105333'],86.0,hardcover
BOOK00892,/works/OL15845896W,What we know about emotional intelligence,/books/OL34853836M,What We Know about Emotional Intelligence,"What We Know about Emotional Intelligence How It Affects Learning, Work, Relationships, and Our Mental Health",,2012,,,['MIT Press'],['eng'],,['9780262291613'],,
BOOK00892,/works/OL15845896W,What we know about emotional intelligence,/books/OL29753655M,What We Know about Emotional Intelligence,"What We Know about Emotional Intelligence How It Affects Learning, Work, Relationships, and Our Mental Health",,2012,,,['MIT Press'],['eng'],,['9780262257381'],462.0,
BOOK00892,/works/OL15845896W,What we know about emotional intelligence,/books/OL27626994M,What We Know about Emotional Intelligence,"What We Know about Emotional Intelligence How It Affects Learning, Work, Relationships, and Our Mental Health",,"Feb 10, 2012",,,['MIT Press'],[],['0262517574'],['9780262517577'],441.0,paperback
BOOK00892,/works/OL15845896W,What we know about emotional intelligence,/books/OL22514407M,What we know about emotional intelligence,,,2009,mau,"['Cambridge, MA']",['MIT Press'],['eng'],,['9780262012607'],,
BOOK00892,/works/OL15845896W,What we know about emotional intelligence,/books/OL24755179M,What we know about emotional intelligence,"What we know about emotional intelligence how it affects learning, work, relationships, and our mental health",,2009,mau,"['Cambridge, Mass']",['MIT Press'],['eng'],"['026201260X', '0262255014']","['9780262012607', '9780262255011']",441.0,
BOOK00893,/works/OL18208464W,Applying emotional intelligence,/books/OL34612043M,Applying Emotional Intelligence,Applying Emotional Intelligence A Practitioner's Guide,,2013,,,['Taylor & Francis Group'],['eng'],,['9781315782935'],,
BOOK00893,/works/OL18208464W,Applying emotional intelligence,/books/OL34611014M,Applying Emotional Intelligence,Applying Emotional Intelligence A Practitioner's Guide,,2013,,,['Taylor & Francis Group'],['eng'],,['9781317710004'],,
BOOK00893,/works/OL18208464W,Applying emotional intelligence,/books/OL33681438M,Applying Emotional Intelligence,Applying Emotional Intelligence A Practitioner's Guide,,2013,,,['Taylor & Francis Group'],['eng'],,['9781317709985'],184.0,
BOOK00893,/works/OL18208464W,Applying emotional intelligence,/books/OL33640549M,Applying Emotional Intelligence,Applying Emotional Intelligence A Practitioner's Guide,,2013,,,['Taylor & Francis Group'],['eng'],,['9781317709992'],184.0,
BOOK00893,/works/OL18208464W,Applying emotional intelligence,/books/OL17213819M,Applying emotional intelligence,,,2007,nyu,"['New York, NY']",['Psychology Press'],['eng'],"['1841694614', '1841694622']","['9781841694610', '9781841694627']",169.0,
BOOK00894,/works/OL17476520W,Change Your Life With Emotional Intelligence,/books/OL53247108M,Change Your Life with Emotional Intelligence,Change Your Life with Emotional Intelligence,,2010,,,['Hodder & Stoughton'],['eng'],,['9781444131161'],256.0,
BOOK00894,/works/OL17476520W,Change Your Life With Emotional Intelligence,/books/OL38031588M,Change Your Life with Emotional Intelligence,Change Your Life with Emotional Intelligence,,2010,,,['Hodder Education Group'],['eng'],,['9781444126556'],,
BOOK00894,/works/OL17476520W,Change Your Life With Emotional Intelligence,/books/OL28449287M,Change Your Life with Emotional Intelligence,Change Your Life with Emotional Intelligence,,2011,,,"['Hodder Education Group', 'Teach Yourself']",['eng'],,['9781444100945'],274.0,
BOOK00894,/works/OL17476520W,Change Your Life With Emotional Intelligence,/books/OL26062527M,Change Your Life With Emotional Intelligence,,,2011,,,['McGraw-Hill'],[],,['9780071740166'],256.0,
BOOK00895,/works/OL29966293W,Emotional Intelligence Mastery 2. 0,/books/OL41199178M,Emotional Intelligence Mastery 2. 0,"Emotional Intelligence Mastery 2. 0 Learn How to Make Your Communication Skills Effective, Master Empathy and Self Knowledge with the Best Social Awareness Techniques",,2019,,,"['Independently Published', 'Independently published']",['eng'],,['9781099434310'],70.0,
BOOK00896,/works/OL19968778W,La iInteligencia emocional,/books/OL27148980M,La iInteligencia emocional,,,2013,mx,"['Mexico, D. F']",['Ediciones B'],['spa'],['6074803218'],['9786074803211'],397.0,
BOOK00897,/works/OL26457481W,Emotional Intelligence,/books/OL35744636M,Emotional Intelligence,Emotional Intelligence,,1998,,,"['Rowman & Littlefield Publishers, Incorporated']",['eng'],,['9782887943076'],,
BOOK00898,/works/OL4792964W,Emotional Intelligence,/books/OL8650370M,Emotional Intelligence,,,"October 20, 2001",,,['Management Pocketbooks'],['eng'],['1870471954'],['9781870471954'],112.0,Paperback
BOOK00899,/works/OL26797363W,Emotional Intelligence,/books/OL36338442M,Emotional Intelligence,"Emotional Intelligence 3 Manuscripts - Emotional Intelligence Definitive Guide, Emotional Intelligence Mastery, Emotional Intelligence Complete Step ...",,2019,,,['Alakai Publishing LLC'],['eng'],,['9781951754037'],,
BOOK00899,/works/OL26797363W,Emotional Intelligence,/books/OL36338441M,Emotional Intelligence,"Emotional Intelligence 4 Manuscripts - How to Master Your Emotions, Increase Your EQ, Improve Your Social Skills, and Massively Improve Your Relationships",,2019,,,['Alakai Publishing LLC'],['eng'],,['9781951754020'],,
BOOK00899,/works/OL26797363W,Emotional Intelligence,/books/OL36338440M,Emotional Intelligence,"Emotional Intelligence Mastery- How to Master Your Emotions, Improve Your EQ, and Massively Improve Your Relationships",,2019,,,['Alakai Publishing LLC'],['eng'],,['9781951754044'],,
