book_id,core_recommendations,enriched_recommendations,core_mean_similarity,enriched_mean_similarity,core_rank1_similarity,enriched_rank1_similarity,top10_overlap_count,top10_overlap_ratio
BOOK01600,10,10,0.3284489552597537,0.2988568898152316,0.47831735698732514,0.4836452319727832,7,0.7
BOOK01601,10,10,0.3223383003761473,0.2610289764341728,0.4740887438358365,0.5357043566323637,7,0.7
BOOK01602,10,10,0.3511193498672851,0.3348234526935071,0.5718249750356635,0.564995443417237,9,0.9
BOOK01603,10,10,0.2886122070789033,0.257249811047593,0.3911370195745164,0.3668086536436228,8,0.8
BOOK01604,10,10,0.27000532952190437,0.20647844483653346,0.41510487156679526,0.34825840482281684,7,0.7
BOOK01605,10,10,0.2856418009265554,0.2853891208047365,0.7352661361693352,0.7048154245526336,9,0.9
BOOK01606,5,10,0.5739699221275258,0.2621251336436716,1.0,0.7526127752271065,5,0.5
BOOK01607,10,10,0.4431273716997066,0.43045782967783197,0.7387357912390725,0.7551422084941685,8,0.8
BOOK01608,10,10,0.30578437381362333,0.2777483452205835,0.5649500976138756,0.5817497588842374,8,0.8
BOOK01609,10,10,0.3257007122971502,0.2809644824232772,0.3897707152370929,0.35464806348593014,6,0.6
BOOK01610,10,10,0.2301983975632448,0.22277672541514285,0.3263610190190882,0.3411767564594599,8,0.8
BOOK01611,10,10,0.27146223869692343,0.24282742920489472,0.3290495279375141,0.3113455860425728,9,0.9
BOOK01612,10,10,0.3525697597070172,0.28437482534739805,0.49965068675342905,0.3610052170120674,6,0.6
BOOK01613,10,10,0.36344724607475803,0.3438145899126749,0.45318234217882525,0.5047095887965747,8,0.8
BOOK01614,10,10,0.37093480906377074,0.2967115307091761,0.490363967936931,0.4247152321260507,9,0.9
BOOK01615,10,10,0.6543463169101225,0.6149991874153533,1.0,1.0,9,0.9
BOOK01616,10,10,0.3998833970481156,0.34550440751159994,0.6809772833113775,0.6709563035977583,8,0.8
BOOK01617,10,10,0.38204961385017605,0.2882096464545759,0.7107064771869106,0.6614168732843229,9,0.9
BOOK01618,10,10,0.34578925686954837,0.32776405907403366,0.40149396496498163,0.39037876595878357,7,0.7
BOOK01619,1,1,0.5114154399718005,0.19967404181319465,0.5114154399718005,0.19967404181319465,1,0.1
BOOK01620,10,10,0.31763240785443786,0.3087369229666338,0.44092498728647034,0.4571695367861513,7,0.7
BOOK01621,10,10,0.41131671556045174,0.40548853439915095,0.5341616731143387,0.5056166867475053,9,0.9
BOOK01622,10,10,0.35036826076587746,0.2746986792818693,0.617869313574559,0.6230265081999784,8,0.8
BOOK01623,2,2,0.49819246815795387,0.4452807222666217,0.5576889351170616,0.5576889351170616,1,0.1
BOOK01624,6,6,0.5086058261094216,0.509646889681266,0.6412674060868556,0.667907702398224,6,0.6
BOOK01625,3,10,0.6028756191651895,0.13082222315880668,0.7566935454831355,0.3801424934592508,3,0.3
BOOK01626,10,10,0.3511084091964041,0.2079210355198003,0.48506431349649254,0.3685859492980485,6,0.6
BOOK01627,10,10,0.39512153158280783,0.3810325818165033,0.5254586433768014,0.5447582122719163,9,0.9
BOOK01628,10,10,0.33579691185017946,0.32402892276418366,0.402526363653186,0.4023835825562895,9,0.9
BOOK01629,10,10,0.30962557350462616,0.28111317017078463,0.4867991682687004,0.490770787279727,8,0.8
BOOK01630,10,10,0.28901381696594447,0.30367574656795887,0.6289914146123705,0.650147795946731,9,0.9
BOOK01631,10,10,0.4534342698089014,0.4438901619900359,0.7105988770058548,0.70375522280114,7,0.7
BOOK01632,9,10,0.2960806101403487,0.2547127326846495,0.38521946091925197,0.39876241735999113,9,0.9
BOOK01633,10,10,0.35110647157871533,0.3542899188816048,0.6289914146123705,0.650147795946731,10,1.0
