tensor_row,book_id,is_zero_vector
564,BOOK00565,False
565,BOOK00566,False
566,BOOK00567,False
567,BOOK00568,False
568,BOOK00569,False
569,BOOK00570,False
570,BOOK00571,False
571,BOOK00572,False
572,BOOK00573,False
573,BOOK00574,False
574,BOOK00575,False
575,BOOK00576,False
576,BOOK00577,False
577,BOOK00578,False
578,BOOK00579,False
579,BOOK00580,False
580,BOOK00581,False
581,BOOK00582,False
582,BOOK00583,False
583,BOOK00584,False
584,BOOK00585,False
585,BOOK00586,False
586,BOOK00587,False
587,BOOK00588,False
588,BOOK00589,False
589,BOOK00590,False
590,BOOK00591,False
591,BOOK00592,False
592,BOOK00593,False
593,BOOK00594,False
594,BOOK00595,False
595,BOOK00596,False
596,BOOK00597,False
597,BOOK00598,False
598,BOOK00599,False
599,BOOK00600,False
600,BOOK00601,False
601,BOOK00602,False
602,BOOK00603,False
603,BOOK00604,False
604,BOOK00605,False
605,BOOK00606,False
606,BOOK00607,False
607,BOOK00608,False
608,BOOK00609,False
609,BOOK00610,False
610,BOOK00611,False
611,BOOK00612,False
612,BOOK00613,False
613,BOOK00614,False
614,BOOK00615,False
615,BOOK00616,False
616,BOOK00617,False
617,BOOK00618,False
618,BOOK00619,False
619,BOOK00620,False
620,BOOK00621,False
621,BOOK00622,False
622,BOOK00623,False
623,BOOK00624,False
624,BOOK00625,False
625,BOOK00626,False
626,BOOK00627,False
627,BOOK00628,False
628,BOOK00629,False
629,BOOK00630,False
630,BOOK00631,False
631,BOOK00632,False
632,BOOK00633,False
633,BOOK00634,False
634,BOOK00635,False
635,BOOK00636,False
636,BOOK00637,False
637,BOOK00638,False
638,BOOK00639,False
639,BOOK00640,False
640,BOOK00641,False
641,BOOK00642,False
642,BOOK00643,False
643,BOOK00644,False
644,BOOK00645,False
645,BOOK00646,False
646,BOOK00647,False
647,BOOK00648,False
648,BOOK00649,False
649,BOOK00650,False
650,BOOK00651,False
651,BOOK00652,False
652,BOOK00653,False
653,BOOK00654,False
654,BOOK00655,False
655,BOOK00656,False
656,BOOK00657,False
657,BOOK00658,False
658,BOOK00659,False
659,BOOK00660,False
660,BOOK00661,False
661,BOOK00662,False
662,BOOK00663,False
663,BOOK00664,False
664,BOOK00665,False
665,BOOK00666,False
666,BOOK00667,False
667,BOOK00668,False
668,BOOK00669,False
669,BOOK00670,False
670,BOOK00671,False
671,BOOK00672,False
672,BOOK00673,False
673,BOOK00674,False
674,BOOK00675,False
675,BOOK00676,False
676,BOOK00677,False
677,BOOK00678,False
678,BOOK00679,False
679,BOOK00680,False
680,BOOK00681,False
681,BOOK00682,False
682,BOOK00683,False
683,BOOK00684,False
684,BOOK00685,False
685,BOOK00686,False
686,BOOK00687,False
687,BOOK00688,False
688,BOOK00689,False
689,BOOK00690,False
690,BOOK00691,False
691,BOOK00692,False
692,BOOK00693,False
693,BOOK00694,False
694,BOOK00695,False
695,BOOK00696,False
696,BOOK00697,False
697,BOOK00698,False
698,BOOK00699,False
699,BOOK00700,False
700,BOOK00701,False
701,BOOK00702,False
702,BOOK00703,False
703,BOOK00704,False
704,BOOK00705,False
705,BOOK00706,False
706,BOOK00707,False
707,BOOK00708,False
708,BOOK00709,False
709,BOOK00710,False
710,BOOK00711,False
711,BOOK00712,False
712,BOOK00713,False
713,BOOK00714,False
714,BOOK00715,False
715,BOOK00716,False
716,BOOK00717,False
717,BOOK00718,False
718,BOOK00719,False
719,BOOK00720,False
720,BOOK00721,False
721,BOOK00722,False
722,BOOK00723,False
723,BOOK00724,False
724,BOOK00725,False
725,BOOK00726,False
726,BOOK00727,False
727,BOOK00728,False
728,BOOK00729,False
729,BOOK00730,False
730,BOOK00731,False
731,BOOK00732,False
732,BOOK00733,False
733,BOOK00734,False
734,BOOK00735,False
735,BOOK00736,False
736,BOOK00737,False
737,BOOK00738,False
738,BOOK00739,False
739,BOOK00740,False
740,BOOK00741,False
741,BOOK00742,False
742,BOOK00743,False
743,BOOK00744,False
744,BOOK00745,False
745,BOOK00746,False
746,BOOK00747,False
747,BOOK00748,False
748,BOOK00749,False
749,BOOK00750,False
750,BOOK00751,False
751,BOOK00752,False
752,BOOK00753,False
753,BOOK00754,False
754,BOOK00755,False
755,BOOK00756,False
756,BOOK00757,False
757,BOOK00758,False
758,BOOK00759,False
759,BOOK00760,False
760,BOOK00761,False
761,BOOK00762,False
762,BOOK00763,False
763,BOOK00764,False
764,BOOK00765,False
765,BOOK00766,False
766,BOOK00767,False
767,BOOK00768,False
768,BOOK00769,False
769,BOOK00770,False
770,BOOK00771,False
771,BOOK00772,False
772,BOOK00773,False
773,BOOK00774,False
774,BOOK00775,False
775,BOOK00776,False
776,BOOK00777,False
777,BOOK00778,False
778,BOOK00779,False
779,BOOK00780,False
780,BOOK00781,False
781,BOOK00782,False
782,BOOK00783,False
783,BOOK00784,False
784,BOOK00785,False
785,BOOK00786,False
786,BOOK00787,False
787,BOOK00788,False
788,BOOK00789,False
789,BOOK00790,False
790,BOOK00791,False
791,BOOK00792,False
792,BOOK00793,False
793,BOOK00794,False
794,BOOK00795,False
795,BOOK00796,False
796,BOOK00797,False
797,BOOK00798,False
798,BOOK00799,False
799,BOOK00800,False
800,BOOK00801,False
801,BOOK00802,False
802,BOOK00803,False
803,BOOK00804,False
804,BOOK00805,False
805,BOOK00806,False
806,BOOK00807,False
807,BOOK00808,False
808,BOOK00809,False
809,BOOK00810,False
810,BOOK00811,False
811,BOOK00812,False
812,BOOK00813,False
813,BOOK00814,False
814,BOOK00815,False
815,BOOK00816,False
816,BOOK00817,False
817,BOOK00818,False
818,BOOK00819,False
819,BOOK00820,False
820,BOOK00821,False
821,BOOK00822,False
822,BOOK00823,False
823,BOOK00824,False
824,BOOK00825,False
825,BOOK00826,False
826,BOOK00827,False
827,BOOK00828,False
828,BOOK00829,False
829,BOOK00830,False
830,BOOK00831,False
831,BOOK00832,False
832,BOOK00833,False
833,BOOK00834,False
834,BOOK00835,False
835,BOOK00836,False
836,BOOK00837,False
837,BOOK00838,False
838,BOOK00839,False
839,BOOK00840,False
840,BOOK00841,False
841,BOOK00842,False
842,BOOK00843,False
843,BOOK00844,False
844,BOOK00845,False
845,BOOK00846,False
846,BOOK00847,False
847,BOOK00848,False
848,BOOK00849,False
849,BOOK00850,False
850,BOOK00851,False
851,BOOK00852,False
852,BOOK00853,False
853,BOOK00854,False
854,BOOK00855,False
855,BOOK00856,False
856,BOOK00857,False
857,BOOK00858,False
858,BOOK00859,False
859,BOOK00860,False
860,BOOK00861,False
861,BOOK00862,False
862,BOOK00863,False
863,BOOK00864,False
864,BOOK00865,False
865,BOOK00866,False
866,BOOK00867,False
867,BOOK00868,False
868,BOOK00869,False
869,BOOK00870,False
870,BOOK00871,False
871,BOOK00872,False
872,BOOK00873,False
873,BOOK00874,False
874,BOOK00875,False
875,BOOK00876,False
876,BOOK00877,False
877,BOOK00878,False
878,BOOK00879,False
879,BOOK00880,False
880,BOOK00881,False
881,BOOK00882,False
882,BOOK00883,False
883,BOOK00884,False
884,BOOK00885,False
885,BOOK00886,False
886,BOOK00887,False
887,BOOK00888,False
888,BOOK00889,False
889,BOOK00890,False
890,BOOK00891,False
891,BOOK00892,False
892,BOOK00893,False
893,BOOK00894,False
894,BOOK00895,False
895,BOOK00896,False
896,BOOK00897,False
897,BOOK00898,False
898,BOOK00899,False
899,BOOK00900,False
900,BOOK00901,False
901,BOOK00902,False
902,BOOK00903,False
903,BOOK00904,False
904,BOOK00905,False
905,BOOK00906,False
906,BOOK00907,False
907,BOOK00908,False
908,BOOK00909,False
909,BOOK00910,False
910,BOOK00911,False
911,BOOK00912,False
912,BOOK00913,False
913,BOOK00914,False
914,BOOK00915,False
915,BOOK00916,False
916,BOOK00917,False
917,BOOK00918,False
918,BOOK00919,False
919,BOOK00920,False
920,BOOK00921,False
921,BOOK00922,False
922,BOOK00923,False
923,BOOK00924,False
924,BOOK00925,False
925,BOOK00926,False
926,BOOK00927,False
927,BOOK00928,False
928,BOOK00929,False
929,BOOK00930,False
930,BOOK00931,False
931,BOOK00932,False
932,BOOK00933,False
933,BOOK00934,False
934,BOOK00935,False
935,BOOK00936,False
936,BOOK00937,False
937,BOOK00938,False
938,BOOK00939,False
939,BOOK00940,False
940,BOOK00941,False
941,BOOK00942,False
942,BOOK00943,False
943,BOOK00944,False
944,BOOK00945,False
945,BOOK00946,False
946,BOOK00947,False
947,BOOK00948,False
948,BOOK00949,False
949,BOOK00950,False
950,BOOK00951,False
951,BOOK00952,False
952,BOOK00953,False
953,BOOK00954,False
954,BOOK00955,False
955,BOOK00956,False
956,BOOK00957,False
957,BOOK00958,False
958,BOOK00959,False
959,BOOK00960,False
960,BOOK00961,False
961,BOOK00962,False
962,BOOK00963,True
963,BOOK00964,False
964,BOOK00965,False
965,BOOK00966,False
966,BOOK00967,False
967,BOOK00968,False
968,BOOK00969,False
969,BOOK00970,False
970,BOOK00971,False
971,BOOK00972,False
972,BOOK00973,False
973,BOOK00974,False
974,BOOK00975,False
975,BOOK00976,False
976,BOOK00977,False
977,BOOK00978,False
978,BOOK00979,False
979,BOOK00980,False
980,BOOK00981,False
981,BOOK00982,False
982,BOOK00983,False
983,BOOK00984,False
984,BOOK00985,False
985,BOOK00986,False
986,BOOK00987,False
987,BOOK00988,False
988,BOOK00989,False
989,BOOK00990,False
990,BOOK00991,False
991,BOOK00992,False
992,BOOK00993,False
993,BOOK00994,False
994,BOOK00995,False
995,BOOK00996,False
996,BOOK00997,False
997,BOOK00998,False
998,BOOK00999,False
999,BOOK01000,False
1000,BOOK01001,False
1001,BOOK01002,True
1002,BOOK01003,False
1003,BOOK01004,False
1004,BOOK01005,False
1005,BOOK01006,False
1006,BOOK01007,False
1007,BOOK01008,False
1008,BOOK01009,False
1009,BOOK01010,False
1010,BOOK01011,False
1011,BOOK01012,False
1012,BOOK01013,False
1013,BOOK01014,False
1014,BOOK01015,False
1015,BOOK01016,False
1016,BOOK01017,False
1017,BOOK01018,False
1018,BOOK01019,False
1019,BOOK01020,False
1020,BOOK01021,False
1021,BOOK01022,False
1022,BOOK01023,False
1023,BOOK01024,False
1024,BOOK01025,False
1025,BOOK01026,False
1026,BOOK01027,False
1027,BOOK01028,False
1028,BOOK01029,False
1029,BOOK01030,True
1030,BOOK01031,False
1031,BOOK01032,False
1032,BOOK01033,False
1033,BOOK01034,False
1034,BOOK01035,False
1035,BOOK01036,False
1036,BOOK01037,False
1037,BOOK01038,False
1038,BOOK01039,False
1039,BOOK01040,False
1040,BOOK01041,False
1041,BOOK01042,False
1042,BOOK01043,False
1043,BOOK01044,False
1044,BOOK01045,False
1045,BOOK01046,False
1046,BOOK01047,False
1047,BOOK01048,False
1048,BOOK01049,False
1049,BOOK01050,False
1050,BOOK01051,False
1051,BOOK01052,False
1052,BOOK01053,False
1053,BOOK01054,False
1054,BOOK01055,False
1055,BOOK01056,False
1056,BOOK01057,False
1057,BOOK01058,False
1058,BOOK01059,False
1059,BOOK01060,False
1060,BOOK01061,False
1061,BOOK01062,True
1062,BOOK01063,False
1063,BOOK01064,False
1064,BOOK01065,False
1065,BOOK01066,False
1066,BOOK01067,False
1067,BOOK01068,False
1068,BOOK01069,False
1069,BOOK01070,False
1070,BOOK01071,False
1071,BOOK01072,True
1072,BOOK01073,False
1073,BOOK01074,False
1074,BOOK01075,False
1075,BOOK01076,False
1076,BOOK01077,False
1077,BOOK01078,False
1078,BOOK01079,False
1079,BOOK01080,False
1080,BOOK01081,False
1081,BOOK01082,False
1082,BOOK01083,False
1083,BOOK01084,False
1084,BOOK01085,False
1085,BOOK01086,False
1086,BOOK01087,False
1087,BOOK01088,False
1088,BOOK01089,False
1089,BOOK01090,False
1090,BOOK01091,False
1091,BOOK01092,False
1092,BOOK01093,False
1093,BOOK01094,False
1094,BOOK01095,False
1095,BOOK01096,False
1096,BOOK01097,False
1097,BOOK01098,False
1098,BOOK01099,False
1099,BOOK01100,False
1100,BOOK01101,False
1101,BOOK01102,False
1102,BOOK01103,False
1103,BOOK01104,False
1104,BOOK01105,False
1105,BOOK01106,False
1106,BOOK01107,False
1107,BOOK01108,False
1108,BOOK01109,False
1109,BOOK01110,False
1110,BOOK01111,False
1111,BOOK01112,False
1112,BOOK01113,False
1113,BOOK01114,False
1114,BOOK01115,False
1115,BOOK01116,False
1116,BOOK01117,False
1117,BOOK01118,False
1118,BOOK01119,False
1119,BOOK01120,False
1120,BOOK01121,False
1121,BOOK01122,False
1122,BOOK01123,False
1123,BOOK01124,False
1124,BOOK01125,False
1125,BOOK01126,False
1126,BOOK01127,False
1127,BOOK01128,False
1128,BOOK01129,False
1129,BOOK01130,False
1130,BOOK01131,False
1131,BOOK01132,False
1132,BOOK01133,False
1133,BOOK01134,False
1134,BOOK01135,False
1135,BOOK01136,False
1136,BOOK01137,False
1137,BOOK01138,False
1138,BOOK01139,False
1139,BOOK01140,False
1140,BOOK01141,False
1141,BOOK01142,False
1142,BOOK01143,False
1143,BOOK01144,False
1144,BOOK01145,False
1145,BOOK01146,False
1146,BOOK01147,False
1147,BOOK01148,False
1148,BOOK01149,False
1149,BOOK01150,False
1150,BOOK01151,False
1151,BOOK01152,False
1152,BOOK01153,False
1153,BOOK01154,False
1154,BOOK01155,False
1155,BOOK01156,False
1156,BOOK01157,False
1157,BOOK01158,False
1158,BOOK01159,False
1159,BOOK01160,False
1160,BOOK01161,False
1161,BOOK01162,False
1162,BOOK01163,False
1163,BOOK01164,False
1164,BOOK01165,False
1165,BOOK01166,False
1166,BOOK01167,False
1167,BOOK01168,False
1168,BOOK01169,False
1169,BOOK01170,True
1170,BOOK01171,False
1171,BOOK01172,False
1172,BOOK01173,True
1173,BOOK01174,False
1174,BOOK01175,False
1175,BOOK01176,False
1176,BOOK01177,False
1177,BOOK01178,False
1178,BOOK01179,False
1179,BOOK01180,True
1180,BOOK01181,False
1181,BOOK01182,False
1182,BOOK01183,False
1183,BOOK01184,False
1184,BOOK01185,False
1185,BOOK01186,False
1186,BOOK01187,False
1187,BOOK01188,False
1188,BOOK01189,False
1189,BOOK01190,False
1190,BOOK01191,False
1191,BOOK01192,False
1192,BOOK01193,False
1193,BOOK01194,False
1194,BOOK01195,False
1195,BOOK01196,False
1196,BOOK01197,False
1197,BOOK01198,False
1198,BOOK01199,False
1199,BOOK01200,False
1200,BOOK01201,False
1201,BOOK01202,False
1202,BOOK01203,False
1203,BOOK01204,False
1204,BOOK01205,False
1205,BOOK01206,False
1206,BOOK01207,False
1207,BOOK01208,False
1208,BOOK01209,False
1209,BOOK01210,False
1210,BOOK01211,False
1211,BOOK01212,False
1212,BOOK01213,False
1213,BOOK01214,False
1214,BOOK01215,False
1215,BOOK01216,False
1216,BOOK01217,False
1217,BOOK01218,False
1218,BOOK01219,False
1219,BOOK01220,False
1220,BOOK01221,False
1221,BOOK01222,False
1222,BOOK01223,False
1223,BOOK01224,False
1224,BOOK01225,False
1225,BOOK01226,False
1226,BOOK01227,False
1227,BOOK01228,False
1228,BOOK01229,False
1229,BOOK01230,False
1230,BOOK01231,False
1231,BOOK01232,False
1232,BOOK01233,False
1233,BOOK01234,False
1234,BOOK01235,False
1235,BOOK01236,False
1236,BOOK01237,False
1237,BOOK01238,False
1238,BOOK01239,False
1239,BOOK01240,False
1240,BOOK01241,False
1241,BOOK01242,False
1242,BOOK01243,False
1243,BOOK01244,False
1244,BOOK01245,False
