book_id,known_publication_languages_display,observed_publication_language_count,has_multilingual_publication_evidence
BOOK00593,English,1,False
BOOK00594,English,1,False
BOOK00595,English,1,False
BOOK00596,,0,False
BOOK00597,English,1,False
BOOK00598,English,1,False
BOOK00599,English,1,False
BOOK00600,English,1,False
BOOK00601,English,1,False
BOOK00602,English,1,False
BOOK00603,English,1,False
BOOK00604,English,1,False
BOOK00605,English,1,False
BOOK00606,,0,False
BOOK00607,English,1,False
BOOK00608,English,1,False
BOOK00609,English,1,False
BOOK00610,,0,False
BOOK00611,English,1,False
BOOK00612,English,1,False
BOOK00613,English,1,False
BOOK00614,English,1,False
BOOK00615,English,1,False
BOOK00616,English,1,False
BOOK00617,English,1,False
BOOK00618,English,1,False
BOOK00619,English,1,False
BOOK00620,English,1,False
BOOK00621,English,1,False
BOOK00622,English,1,False
BOOK00623,English,1,False
BOOK00624,English,1,False
BOOK00625,English,1,False
BOOK00626,English,1,False
BOOK00627,English,1,False
BOOK00628,English,1,False
BOOK00629,English,1,False
BOOK00630,English,1,False
BOOK00631,English,1,False
BOOK00632,"English, Spanish",2,True
BOOK00633,English,1,False
BOOK00634,English,1,False
BOOK00635,English,1,False
BOOK00636,English,1,False
BOOK00637,English,1,False
BOOK00638,Spanish,1,False
BOOK00639,English,1,False
BOOK00640,English,1,False
BOOK00641,English,1,False
BOOK00642,English,1,False
BOOK00643,English,1,False
BOOK00644,English,1,False
BOOK00645,,0,False
BOOK00646,English,1,False
BOOK00647,English,1,False
BOOK00648,English,1,False
BOOK00649,English,1,False
BOOK00650,English,1,False
BOOK00651,English,1,False
BOOK00652,English,1,False
BOOK00653,English,1,False
BOOK00654,,0,False
BOOK00655,English,1,False
BOOK00656,English,1,False
BOOK00657,English,1,False
BOOK00658,English,1,False
BOOK00659,English,1,False
BOOK00660,"English, Chinese",2,True
BOOK00661,English,1,False
BOOK00662,English,1,False
BOOK00663,English,1,False
BOOK00664,English,1,False
BOOK00665,English,1,False
BOOK00666,English,1,False
BOOK00667,English,1,False
BOOK00668,English,1,False
BOOK00669,English,1,False
BOOK00670,English,1,False
BOOK00671,English,1,False
BOOK00672,English,1,False
BOOK00673,English,1,False
BOOK00674,English,1,False
BOOK00675,English,1,False
BOOK00676,English,1,False
BOOK00677,English,1,False
BOOK00678,English,1,False
BOOK00679,English,1,False
BOOK00680,English,1,False
BOOK00681,English,1,False
BOOK00682,English,1,False
BOOK00683,English,1,False
BOOK00684,English,1,False
BOOK00685,English,1,False
BOOK00686,English,1,False
BOOK00687,English,1,False
BOOK00688,English,1,False
BOOK00689,English,1,False
BOOK00690,English,1,False
BOOK00691,English,1,False
BOOK00692,English,1,False
BOOK00693,English,1,False
BOOK00694,English,1,False
BOOK00695,English,1,False
BOOK00696,English,1,False
BOOK00697,English,1,False
BOOK00698,English,1,False
BOOK00699,English,1,False
BOOK00700,English,1,False
BOOK00701,English,1,False
BOOK00702,English,1,False
BOOK00703,English,1,False
BOOK00704,English,1,False
BOOK00705,English,1,False
BOOK00706,English,1,False
BOOK00707,English,1,False
BOOK00708,English,1,False
BOOK00709,English,1,False
BOOK00710,English,1,False
BOOK00711,English,1,False
BOOK00712,English,1,False
BOOK00713,English,1,False
BOOK00714,,0,False
BOOK00715,"English, Spanish",2,True
BOOK00716,English,1,False
BOOK00717,,0,False
BOOK00718,English,1,False
BOOK00719,English,1,False
BOOK00720,English,1,False
BOOK00721,English,1,False
BOOK00722,English,1,False
BOOK00723,English,1,False
BOOK00724,,0,False
BOOK00725,English,1,False
BOOK00726,English,1,False
BOOK00727,English,1,False
BOOK00728,English,1,False
BOOK00729,English,1,False
BOOK00730,English,1,False
BOOK00731,English,1,False
BOOK00732,English,1,False
BOOK00733,English,1,False
BOOK00734,"Vietnamese, Spanish, English",3,True
BOOK00735,English,1,False
BOOK00736,English,1,False
BOOK00737,English,1,False
BOOK00738,English,1,False
BOOK00739,English,1,False
BOOK00740,English,1,False
BOOK00741,English,1,False
BOOK00742,English,1,False
BOOK00743,English,1,False
BOOK00744,English,1,False
BOOK00745,English,1,False
BOOK00746,English,1,False
BOOK00747,English,1,False
BOOK00748,English,1,False
BOOK00749,English,1,False
BOOK00750,English,1,False
BOOK00751,English,1,False
BOOK00752,English,1,False
BOOK00753,English,1,False
BOOK00754,English,1,False
BOOK00755,English,1,False
BOOK00756,,0,False
BOOK00757,English,1,False
BOOK00758,English,1,False
BOOK00759,English,1,False
BOOK00760,English,1,False
BOOK00761,English,1,False
BOOK00762,English,1,False
BOOK00763,English,1,False
BOOK00764,English,1,False
BOOK00765,English,1,False
BOOK00766,English,1,False
BOOK00767,English,1,False
BOOK00768,English,1,False
BOOK00769,English,1,False
BOOK00770,English,1,False
BOOK00771,English,1,False
BOOK00772,English,1,False
BOOK00773,English,1,False
BOOK00774,English,1,False
BOOK00775,English,1,False
BOOK00776,English,1,False
BOOK00777,English,1,False
BOOK00778,English,1,False
BOOK00779,English,1,False
BOOK00780,English,1,False
