query_book_id,recommendations_returned,recommendations_with_cluster,unique_topic_clusters,cluster_diversity_ratio
BOOK00243,10,10,6,0.6
BOOK00244,10,10,1,0.1
BOOK00245,10,10,2,0.2
BOOK00246,10,10,1,0.1
BOOK00247,10,10,3,0.3
BOOK00248,10,7,6,0.8571428571428571
BOOK00249,10,10,2,0.2
BOOK00250,10,8,1,0.125
BOOK00251,10,9,2,0.2222222222222222
BOOK00252,10,10,6,0.6
BOOK00253,10,10,4,0.4
BOOK00254,10,10,2,0.2
BOOK00255,10,10,2,0.2
BOOK00256,10,10,1,0.1
BOOK00257,10,9,3,0.3333333333333333
BOOK00258,10,10,1,0.1
BOOK00259,10,10,2,0.2
BOOK00260,10,10,1,0.1
BOOK00261,10,10,8,0.8
BOOK00262,10,10,5,0.5
BOOK00263,10,10,2,0.2
BOOK00264,10,9,1,0.1111111111111111
BOOK00265,10,10,5,0.5
BOOK00266,10,10,1,0.1
BOOK00267,10,10,3,0.3
BOOK00268,10,10,2,0.2
BOOK00269,10,10,4,0.4
BOOK00270,10,10,8,0.8
BOOK00271,10,10,2,0.2
BOOK00272,10,10,1,0.1
BOOK00273,10,10,1,0.1
BOOK00274,10,10,1,0.1
BOOK00275,10,10,2,0.2
BOOK00276,10,9,3,0.3333333333333333
BOOK00277,10,10,1,0.1
BOOK00278,10,9,1,0.1111111111111111
BOOK00279,10,10,2,0.2
BOOK00280,10,10,3,0.3
BOOK00281,10,10,6,0.6
BOOK00282,10,9,1,0.1111111111111111
BOOK00283,10,10,6,0.6
BOOK00284,10,10,1,0.1
BOOK00285,10,10,1,0.1
BOOK00286,10,10,6,0.6
BOOK00287,10,10,1,0.1
BOOK00288,10,10,7,0.7
BOOK00289,10,9,6,0.6666666666666666
BOOK00290,10,10,2,0.2
BOOK00291,10,10,4,0.4
BOOK00292,10,9,5,0.5555555555555556
BOOK00293,10,10,7,0.7
BOOK00294,10,10,1,0.1
BOOK00295,10,8,4,0.5
BOOK00296,10,10,1,0.1
BOOK00297,10,10,2,0.2
BOOK00298,10,10,1,0.1
BOOK00299,10,10,1,0.1
BOOK00300,10,10,3,0.3
BOOK00301,10,10,2,0.2
BOOK00302,10,10,1,0.1
BOOK00303,10,7,5,0.7142857142857143
BOOK00304,10,10,1,0.1
BOOK00305,10,10,1,0.1
BOOK00306,10,7,6,0.8571428571428571
BOOK00307,10,10,6,0.6
BOOK00308,10,10,5,0.5
BOOK00309,10,10,3,0.3
BOOK00310,10,10,6,0.6
BOOK00311,10,10,4,0.4
BOOK00312,10,10,1,0.1
BOOK00313,10,8,6,0.75
BOOK00314,10,9,6,0.6666666666666666
BOOK00315,10,10,6,0.6
BOOK00316,10,10,4,0.4
BOOK00317,10,10,5,0.5
BOOK00318,10,10,5,0.5
BOOK00319,10,10,2,0.2
BOOK00320,10,9,4,0.4444444444444444
BOOK00321,10,10,5,0.5
BOOK00322,10,10,4,0.4
