book_id,AE_01,AE_02,AE_03,AE_04,AE_05,AE_06,AE_07,AE_08,AE_09,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32
BOOK00054,0.28992125,-0.11783445,-0.20962475,0.023427079,-0.013640249,0.16894734,-0.24498905,0.058873266,-0.3797308,-0.1576951,0.19345,0.05616378,0.17410079,-0.7604924,0.38462093,0.052647177,-0.19784278,-0.24612896,-0.3736852,-0.16902499,-0.3183718,-0.21997595,-0.10870217,-0.077632785,-0.15932824,0.20574158,0.4457721,-0.06615849,0.2779403,0.19633709,-0.019274186,-0.001186233
BOOK00055,0.19880372,-0.37741002,-0.07613701,0.29498446,0.18662024,0.25084925,-0.32005107,-0.08058294,-0.31388405,-0.13480127,0.3364193,0.04079862,0.49224725,-0.7034649,0.772123,0.09284708,-0.0038501546,-0.3807632,0.14221048,-0.08042316,-0.34486705,0.0010217391,-0.050056584,-0.15979642,0.12058768,0.15314157,-0.116668,-0.04014866,-0.37458277,0.15910058,-0.20141026,0.05247572
BOOK00056,0.14003697,-0.3484993,-0.15084216,0.3685926,0.16527772,0.34809065,-0.21872272,0.0032754317,-0.37576988,-0.19855942,0.3549099,0.009801857,0.4272991,-0.61441964,0.49664035,0.21416937,0.027374327,-0.49338824,0.1317004,0.13386482,-0.39737463,-0.18584155,-0.17795208,-0.109223306,0.005561553,0.22767565,-0.0029215962,-0.1096825,-0.35455915,0.22186601,-0.15908353,0.15755562
BOOK00057,0.22247303,-0.125135,-0.2592888,0.15358606,0.20303015,0.13722661,0.0077046007,-0.1303879,-0.3465293,-0.17800243,0.25300208,0.09332794,0.07973751,-0.5544766,0.469313,0.14352413,-0.08726325,-0.19440778,-0.15072866,-0.20442322,-0.25071752,-0.119321555,0.14994834,-0.09589695,-0.22629951,0.16340731,0.4722941,0.048139848,0.19631079,0.19007513,0.0066998526,-0.1058026
BOOK00058,0.25515687,-0.37338355,-0.12591647,0.15135252,0.36017916,0.14486325,-0.052706048,-0.33572167,-0.18172923,-0.25000626,0.4633027,0.122784674,0.03342036,-0.4303192,0.3448375,0.13869978,-0.18017995,-0.12858441,0.339164,-0.13341755,-0.2116727,-0.06751042,0.1687229,-0.015368439,-0.06565684,0.07764705,0.29861915,0.011967711,-0.08553361,0.25202954,-0.0036197603,-0.06362278
BOOK00059,0.08210097,-0.04992287,-0.051952828,0.0760074,0.15331395,0.032177724,-0.14050345,-0.22409442,-0.22868541,-0.079493865,0.109648615,0.09678705,0.069266416,-0.3601478,0.2400063,0.09249616,-0.0013543591,-0.11071477,0.076142885,-0.10226089,-0.11542314,-0.041722126,0.04979422,-0.04093094,-0.14118661,0.15003842,0.26764488,0.04151646,0.11434119,0.18301329,-0.10226501,0.040581923
BOOK00060,0.2274859,-0.10170756,-0.26426616,0.17409395,0.16752155,0.16150486,-0.027672455,-0.13899493,-0.3591277,-0.2035511,0.24149737,0.07245257,0.06649388,-0.57878727,0.45424196,0.15401177,-0.04321169,-0.25756562,-0.15016125,-0.16570185,-0.23544109,-0.10921301,0.12198391,-0.09900467,-0.21080367,0.19519594,0.45903403,-0.0024983808,0.15061449,0.2604785,-0.013292167,-0.08303139
BOOK00061,0.12742504,-0.32761186,-0.14630951,0.059393257,0.07205026,0.32182854,-0.24230395,-0.05547625,-0.39901584,-0.22143275,0.24993992,-0.07740523,0.3851857,-0.573377,0.36026713,0.1123832,-0.23289889,-0.27843097,-0.08644045,-0.07576805,-0.30729932,-0.28336823,0.008647172,-0.10160077,-0.08732034,0.24155594,0.37126178,-0.19766289,0.13234454,0.08329096,-0.050044015,-0.058655895
BOOK00062,-0.19303197,-0.24269277,-0.012887679,0.11259074,0.3597111,-0.07098657,-0.067702785,-0.2172316,-0.32945213,-0.3084127,0.2135964,-0.046777032,0.09649522,-0.39406067,0.27764377,0.20939478,-0.1573542,-0.35138607,0.21356863,-0.10226693,-0.026256576,-0.06957599,0.12989081,0.002530776,-0.1094643,0.20961767,0.3153919,0.2026205,-0.11990962,0.023419527,-0.073826484,-0.055295058
BOOK00063,0.20900455,-0.14293207,-0.16340975,0.19126125,0.084514305,0.22106016,-0.06966068,-0.13205905,-0.38284436,-0.23814389,0.21439376,0.09222984,0.03859795,-0.50320303,0.41885093,0.18312794,-0.010879517,-0.25895408,-0.08087731,-0.15876009,-0.18771914,-0.0007919669,0.012991136,0.0110736415,-0.24892633,0.21680154,0.27304068,0.041115537,0.023557171,0.32299647,-0.028648172,0.059685018
