book_id,earliest_observed_year,earliest_year_edition_records,earliest_country_codes,earliest_country_code_count,earliest_publication_places,earliest_publication_place_count,earliest_publishers,earliest_publisher_count,earliest_geography_status
BOOK00086,1995,1,[],0,[],0,['Chartered Institute of Personnel & Development'],1,no_geographic_evidence
BOOK00087,1994,1,['txu'],1,"['Austin, Tex']",1,['Eakin Press'],1,single_country_evidence
BOOK00088,1996,2,['msu'],1,"['Jackson, Miss']",1,['Phi Theta Kappa International Honor Society'],1,single_country_evidence
BOOK00089,2004,2,[],0,[],0,"['Wiley & Sons, Incorporated, John', 'Center for Creative Leadership']",2,no_geographic_evidence
BOOK00090,2002,3,['cau'],1,"['Thousand Oaks, Calif']",1,['Corwin Press'],1,single_country_evidence
BOOK00091,2009,2,['nyu'],1,['New York'],1,"['AMACOM', 'American Management Association']",2,single_country_evidence
BOOK00092,2008,3,['enk'],1,"['London : New York, NY']",1,['Routledge'],1,single_country_evidence
BOOK00093,2011,3,[],0,[],0,['Upper Room Books'],1,no_geographic_evidence
BOOK00094,2007,2,[],0,[],0,"['SAGE Publications, Incorporated', 'Sage Publications Ltd']",2,no_geographic_evidence
BOOK00095,2007,3,['cau'],1,"['San Francisco, CA']",1,"['Pfeiffer', 'Wiley-Interscience']",2,single_country_evidence
BOOK00096,1980,1,['xx'],1,['Muqdisho'],1,['Somali Institute of Development Administration & Management'],1,single_country_evidence
BOOK00097,2017,6,[],0,[],0,"['Taylor & Francis Group', 'Routledge']",2,no_geographic_evidence
BOOK00098,2007,1,['mbc'],1,['Winnipeg'],1,['Canadian Defence Academy Press'],1,single_country_evidence
BOOK00099,1972,1,['nju'],1,"['Secaucus, N.J']",1,['Citadel Press'],1,single_country_evidence
BOOK00100,1991,3,"['vau', 'enk']",2,"['Arlington, Va', 'Cambridge, Mass']",2,"['Blackwell Publishers', 'Cason Hall', 'Blackwell Business', 'Cason Hall/Blackwellk']",4,multiple_country_evidence
BOOK00101,1953,3,"['xxu', 'xx', 'xxk']",3,"['New York', 'London']",2,"['Harper & Row', 'Harper', 'Harper and Row']",3,multiple_country_evidence
BOOK00102,2010,6,['nyu'],1,['San Diego'],1,"['Taylor & Francis Group', 'Elsevier Science']",2,single_country_evidence
