query_book_id,recommended_book_id,recommendation_rank,similarity_score
BOOK00015,BOOK00635,4,0.39042878380479556
BOOK00015,BOOK00087,5,0.34216166517412894
BOOK00015,BOOK00166,6,0.2894166806878602
BOOK00015,BOOK01524,7,0.28460824408340846
BOOK00015,BOOK01956,8,0.2839442040394638
BOOK00015,BOOK00003,9,0.2839442040394638
BOOK00015,BOOK01784,10,0.2839442040394638
BOOK00016,BOOK00158,1,0.27940585786399363
BOOK00016,BOOK00029,2,0.2757225388299274
BOOK00016,BOOK00058,3,0.22963872348427716
BOOK00016,BOOK00683,4,0.1478829730863246
BOOK00016,BOOK00071,5,0.14481461340478716
BOOK00016,BOOK00120,6,0.14406686885381134
BOOK00016,BOOK00905,7,0.14021293280722544
BOOK00016,BOOK00065,8,0.13850340016028767
BOOK00016,BOOK00049,9,0.13498219317999108
BOOK00016,BOOK00104,10,0.12829292214471413
BOOK00017,BOOK00042,1,0.3643841494605183
BOOK00017,BOOK02025,2,0.25423069762020917
BOOK00017,BOOK01968,3,0.2031065652143268
BOOK00017,BOOK00660,4,0.1981374092265758
BOOK00017,BOOK00338,5,0.1933995339122739
BOOK00017,BOOK00091,6,0.175021906693683
BOOK00017,BOOK00671,7,0.16474099975699333
BOOK00017,BOOK02001,8,0.16328741877579006
BOOK00017,BOOK01989,9,0.15252961711762508
BOOK00017,BOOK00167,10,0.14462759426336308
BOOK00018,BOOK00012,1,0.5695853661009085
BOOK00018,BOOK01078,2,0.3974787282702265
BOOK00018,BOOK01544,3,0.3974787282702265
BOOK00018,BOOK01037,4,0.3974787282702265
BOOK00018,BOOK01390,5,0.37771267644009815
BOOK00018,BOOK00003,6,0.37771267644009815
BOOK00018,BOOK01956,7,0.37771267644009815
BOOK00018,BOOK01784,8,0.37771267644009815
BOOK00018,BOOK01875,9,0.31892718904980655
BOOK00018,BOOK01197,10,0.24469100531529228
BOOK00019,BOOK00150,1,0.4124713942589602
BOOK00019,BOOK00009,2,0.39858499705065115
BOOK00019,BOOK00130,3,0.25806400887818154
BOOK00019,BOOK00036,4,0.24644251342306975
BOOK00019,BOOK00131,5,0.2312825189299659
BOOK00019,BOOK00013,6,0.17683140484776122
BOOK00019,BOOK01201,7,0.17505385947478358
BOOK00019,BOOK00035,8,0.1583141204708479
BOOK00019,BOOK00119,9,0.1557129175554153
BOOK00019,BOOK00020,10,0.15504683670959393
BOOK00020,BOOK00055,1,0.420292739427713
BOOK00020,BOOK00011,2,0.39460228172817946
BOOK00020,BOOK00944,3,0.27341551460290225
BOOK00020,BOOK00444,4,0.26912080001662947
BOOK00020,BOOK00743,5,0.2608840804028802
BOOK00020,BOOK00061,6,0.2573827679936116
BOOK00020,BOOK00014,7,0.25469657889178027
BOOK00020,BOOK00942,8,0.24958684987680785
BOOK00020,BOOK00405,9,0.2465915360787433
BOOK00020,BOOK00940,10,0.23813857126772095
BOOK00021,BOOK00193,1,0.4707205509830039
BOOK00021,BOOK00205,2,0.38613484344929055
BOOK00021,BOOK00221,3,0.37721736247699594
BOOK00021,BOOK00026,4,0.3484438611279084
