edition_id,book_id,scrape_id,isbn_source,isbn_normalized,isbn_13,isbn_status,publisher,publication_date,publication_year,format,page_count,edition_note,cover_url,external_book_url,source_metadata_conflict
EDITION00926,BOOK01873,1103,9781953295750,9781953295750,9781953295750,Valid ISBN-13,Matt Holt,2022-01-11,2022,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9781953295750.jpg,https://amzn.to/3jHS8lQ,False
EDITION00927,BOOK01874,613,9781953943088,9781953943088,9781953943088,Valid ISBN-13,Rivertowns Books,2023-09-12,2023,Hardcover,190.0,,https://www.leadershipnow.com/leadershop/images/9781953943088.jpg,https://amzn.to/3Oofps9,False
EDITION00928,BOOK01875,754,9781953953216,9781953953216,9781953953216,Valid ISBN-13,Stripe Press,2023-03-07,2023,Hardcover,480.0,,https://www.leadershipnow.com/leadershop/images/9781953953216.jpg,https://amzn.to/3CpPI5o,False
EDITION00929,BOOK01876,535,9781953953230,9781953953230,9781953953230,Valid ISBN-13,Stripe Press,2023-12-05,2023,Hardcover,384.0,,https://www.leadershipnow.com/leadershop/images/9781953953230.jpg,https://amzn.to/45AsQvD,False
EDITION00930,BOOK01877,1063,9781954118096,9781954118096,9781954118096,Valid ISBN-13,Spiegel & Grau,2022-03-22,2022,Hardcover,432.0,,https://www.leadershipnow.com/leadershop/images/9781954118096.jpg,https://amzn.to/3K3vj7z,False
EDITION00931,BOOK01878,836,9781954759770,9781954759770,9781954759770,Valid ISBN-13,Cranberry Press,2022-12-01,2022,Hardcover,249.0,,https://www.leadershipnow.com/leadershop/images/9781954759770.jpg,https://amzn.to/3TDMnVT,False
EDITION00932,BOOK01879,1029,9781955026130,9781955026130,9781955026130,Valid ISBN-13,Ballast Books,2022-05-31,2022,Hardcover,232.0,,https://www.leadershipnow.com/leadershop/images/9781955026130.jpg,https://amzn.to/3KskoUT,False
EDITION00933,BOOK01880,391,9781955026208,9781955026208,9781955026208,Valid ISBN-13,Ballast Books,2024-06-11,2024,Hardcover,224.0,,https://www.leadershipnow.com/leadershop/images/9781955026208.jpg,https://amzn.to/4bk0N7w,False
EDITION00934,BOOK01881,746,9781955884464,9781955884464,9781955884464,Valid ISBN-13,ForbesBooks,2023-04-18,2023,Hardcover,226.0,,https://www.leadershipnow.com/leadershop/images/9781955884464.jpg,https://amzn.to/3z1Lted,False
EDITION00935,BOOK01882,576,9781955884969,9781955884969,9781955884969,Valid ISBN-13,ForbesBooks,2023-10-03,2023,Hardcover,472.0,,https://www.leadershipnow.com/leadershop/images/9781955884969.jpg,https://amzn.to/3s27bPe,False
