book_id,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count
BOOK00420,5.0,1.0,3.0,7.0,0.0,1.0
BOOK00421,,,7.0,4.0,0.0,0.0
BOOK00422,,,2.0,5.0,1.0,0.0
BOOK00423,,,2.0,5.0,0.0,0.0
BOOK00424,,,1.0,13.0,0.0,0.0
BOOK00425,,,6.0,7.0,0.0,0.0
BOOK00426,,,1.0,8.0,0.0,0.0
BOOK00427,,,6.0,5.0,0.0,0.0
BOOK00428,,,2.0,6.0,1.0,0.0
BOOK00429,,,13.0,2.0,0.0,0.0
BOOK00430,,,12.0,7.0,0.0,0.0
BOOK00431,,,6.0,3.0,0.0,0.0
BOOK00432,,,2.0,6.0,0.0,0.0
BOOK00433,,,2.0,9.0,0.0,0.0
BOOK00434,,,6.0,4.0,0.0,0.0
BOOK00435,,,1.0,5.0,0.0,0.0
BOOK00436,,,2.0,10.0,1.0,0.0
BOOK00437,3.5,2.0,6.0,49.0,5.0,2.0
BOOK00438,,,2.0,4.0,0.0,0.0
BOOK00439,,,1.0,8.0,0.0,0.0
BOOK00440,,,8.0,1.0,0.0,0.0
BOOK00441,,,2.0,2.0,0.0,0.0
BOOK00442,,,5.0,3.0,0.0,0.0
BOOK00443,4.3333335,21.0,1.0,86.0,6.0,26.0
BOOK00444,,,6.0,2.0,0.0,0.0
BOOK00445,5.0,1.0,3.0,1.0,0.0,1.0
BOOK00446,,,8.0,,,
BOOK00447,,,1.0,4.0,0.0,0.0
BOOK00448,,,7.0,30.0,2.0,1.0
BOOK00449,,,2.0,1.0,0.0,1.0
BOOK00450,,,2.0,2.0,0.0,0.0
BOOK00451,,,6.0,,,
BOOK00452,,,6.0,,,
BOOK00453,,,7.0,,,
BOOK00454,,,1.0,2.0,0.0,0.0
BOOK00455,,,1.0,4.0,0.0,0.0
BOOK00456,,,1.0,3.0,1.0,0.0
BOOK00457,,,1.0,3.0,0.0,0.0
BOOK00458,,,1.0,2.0,0.0,0.0
BOOK00459,5.0,1.0,26.0,27.0,7.0,1.0
BOOK00460,,,5.0,1.0,0.0,0.0
BOOK00461,,,1.0,5.0,0.0,0.0
BOOK00462,,,4.0,1.0,0.0,0.0
BOOK00463,,,1.0,2.0,0.0,0.0
BOOK00464,,,6.0,,,
BOOK00465,,,2.0,2.0,0.0,0.0
BOOK00466,4.4,10.0,13.0,126.0,5.0,16.0
BOOK00467,4.6666665,6.0,4.0,188.0,9.0,8.0
BOOK00468,,,6.0,2.0,0.0,0.0
BOOK00469,,,2.0,1.0,0.0,0.0
BOOK00470,,,4.0,,,
BOOK00471,3.8333333,48.0,15.0,483.0,53.0,59.0
BOOK00472,4.5,2.0,14.0,95.0,18.0,1.0
BOOK00473,4.0,2.0,13.0,51.0,7.0,2.0
BOOK00474,,,22.0,36.0,4.0,0.0
BOOK00475,5.0,1.0,5.0,27.0,4.0,0.0
BOOK00476,1.5,2.0,5.0,46.0,6.0,0.0
BOOK00477,3.5,2.0,15.0,25.0,3.0,2.0
BOOK00478,5.0,1.0,15.0,33.0,3.0,1.0
BOOK00479,4.5,2.0,4.0,19.0,1.0,3.0
BOOK00480,0.0,0.0,11.0,13.0,1.0,0.0
BOOK00481,,,3.0,23.0,0.0,0.0
BOOK00482,,,9.0,9.0,1.0,0.0
BOOK00483,,,12.0,14.0,1.0,1.0
BOOK00484,,,11.0,10.0,1.0,0.0
BOOK00485,,,5.0,10.0,3.0,0.0
